semantics 1
# The behaviour fingerprint. See docs/SEMANTICS-VERSION.md §5.
# scenario/pos kind command | verdict | T[trades] E[events] | state last mark bid ask counters | digest

== fifo (fifo, stp=CANCEL_NEWEST, maxOrders=100000, shard=0)
fifo/0017 CANCEL_ONLY                          | OK                           | T[] E[CANCEL_ONLY#0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=12 tid=3 eid=19 | d58d9a31887e727a
fifo/0018 REDUCE      u1 <-4 to 1              | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=12 tid=3 eid=19 | d58d9a31887e727a
fifo/0019 SUBMIT      u3 S L 100x1 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#13/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=13 tid=3 eid=20 | 11efbe1485eca715
fifo/0020 SUBMIT      u1 S L 99x6 GTC+CANCEL_BOTH | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#14/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=14 tid=3 eid=21 | 5fdd173410fb26fd
fifo/0021 CANCEL      u1 <-12                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=14 tid=3 eid=21 | 5fdd173410fb26fd
fifo/0022 SUBMIT      u2 S L 103x3 FOK+PO+CANCEL_NEWEST | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#15/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=15 tid=3 eid=22 | 1c34941df7781bd1
fifo/0023 SUBMIT      u2 B L 103x7 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#16/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=16 tid=3 eid=23 | 77a4c4d8e63d078b
fifo/0024 SUBMIT      u1 S L 101x9 GTC+CANCEL_OLDEST+g1 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#17/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=17 tid=3 eid=24 | 81efbe61a83d540e
fifo/0025 SUBMIT      u2 S L 98x8 GTC+CANCEL_NEWEST | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#18/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=18 tid=3 eid=25 | aadf49ffeecc73fe
fifo/0026 SUBMIT      u3 S L 100x7 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#19/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=19 tid=3 eid=26 | 17d57dda3d63f5f9
fifo/0027 SUBMIT      u0 S M 99x7 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#20/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=20 tid=3 eid=27 | 55afbc0763a65262
fifo/0028 CANCEL      u0 <-11                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=20 tid=3 eid=27 | 55afbc0763a65262
fifo/0029 CANCEL      u2 <-11                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=20 tid=3 eid=27 | 55afbc0763a65262
fifo/0030 SUBMIT      u3 B L 104x9 IOC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#21/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=21 tid=3 eid=28 | 72f26b3d7742bd0a
fifo/0031 REDUCE      u3 <-9 to 5              | REJECTED:INVALID_QUANTITY    | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=21 tid=3 eid=28 | 72f26b3d7742bd0a
fifo/0032 REPLACE     u2 S M 103x1 GTC+CANCEL_OLDEST <-21 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=21 tid=3 eid=28 | 72f26b3d7742bd0a
fifo/0033 SUBMIT      u1 S L 101x9 GTC+ALLOW   | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#22/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=22 tid=3 eid=29 | 4d387f297a6ff6b3
fifo/0034 SUBMIT      u0 B L 100x2 IOC+CANCEL_NEWEST+g2 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#23/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=23 tid=3 eid=30 | 08c2fb2be15d9c05
fifo/0035 SUBMIT      u3 B L 102x6 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#24/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0036 CANCEL_ALL  u1                       | CANCELLED n=0                | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0037 REDUCE      u3 <-30 to 2             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0038 CANCEL      u1 <-28                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0039 REPLACE     u3 S M 99x5 IOC <-35     | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0040 CANCEL      u3 <-38                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0041 CANCEL      u3 <-18                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0042 REDUCE      u2 <-36 to 9             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=24 tid=3 eid=31 | dc7341504f200590
fifo/0043 SUBMIT      u3 S L 98x7 GTC+CANCEL_OLDEST | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#25/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=25 tid=3 eid=32 | 80159c15d7bcf34b
fifo/0044 SUBMIT      u3 B L 100x7 GTC+CANCEL_OLDEST | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#26/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=26 tid=3 eid=33 | e5f0c046f113faba
fifo/0045 SUBMIT      u2 S L 104x2 FOK+g1      | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#27/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=27 tid=3 eid=34 | 7034129c15312b7f
fifo/0046 SUBMIT      u2 B L 103x2 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#28/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=28 tid=3 eid=35 | f66bd2bed39b0322
fifo/0047 SUBMIT      u3 S L 101x7 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#29/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=29 tid=3 eid=36 | 30907c614f15878c
fifo/0048 CANCEL_ALL  u1                       | CANCELLED n=0                | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=29 tid=3 eid=36 | 30907c614f15878c
fifo/0049 SUBMIT      u2 B L 102x7 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#30/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=30 tid=3 eid=37 | 84842dc6f5125894
fifo/0050 SUBMIT      u2 S L 103x5 IOC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#31/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=31 tid=3 eid=38 | f0b83b80568c2c61
fifo/0051 SUBMIT      u1 S L 98x2 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#32/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=32 tid=3 eid=39 | 2fb43798f4ead95f
fifo/0052 SUBMIT      u1 S L 100x7 GTC+g1      | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#33/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=33 tid=3 eid=40 | a4c2da4d6c2356a5
fifo/0053 SUBMIT      u0 S L 98x9 GTC+g1       | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#34/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=34 tid=3 eid=41 | 94345531fc002fe4
fifo/0054 SUBMIT      u1 B L 98x2 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#35/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=35 tid=3 eid=42 | 58fc47edaf93cdd1
fifo/0055 REDUCE      u1 <-34 to 1             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=35 tid=3 eid=42 | 58fc47edaf93cdd1
fifo/0056 SUBMIT      u3 S L 101x2 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#36/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=36 tid=3 eid=43 | 8db59eed8a62d2b8
fifo/0057 SUBMIT      u2 B L 103x4 IOC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#37/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=37 tid=3 eid=44 | c75987fd50dc578f
fifo/0058 SUBMIT      u2 S L 100x2 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#38/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=38 tid=3 eid=45 | 0211d399a7a43fd8
fifo/0059 SUBMIT      u2 B L 103x2 GTC+g1      | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#39/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=39 tid=3 eid=46 | edd7fe72792cfd3f
fifo/0060 SUBMIT      u2 B L 104x2 GTC+PO+CANCEL_BOTH+g2 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#40/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=40 tid=3 eid=47 | d20309f9a133e561
fifo/0061 SUBMIT      u2 S L 99x9 GTC+PO       | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#41/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=41 tid=3 eid=48 | 8c951891e6075448
fifo/0062 SUBMIT      u1 B L 99x7 FOK+CANCEL_OLDEST+g1 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#42/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=42 tid=3 eid=49 | 8f4461ed79904a4d
fifo/0063 CANCEL      u2 <-60                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=42 tid=3 eid=49 | 8f4461ed79904a4d
fifo/0064 SUBMIT      u1 B L 104x6 GTC+CANCEL_BOTH+g2 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#43/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=43 tid=3 eid=50 | c5db8d196100125d
fifo/0065 SUBMIT      u2 B L 99x5 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#44/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=44 tid=3 eid=51 | 791a87cbd603304c
fifo/0066 SUBMIT      u3 S L 101x9 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#45/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=45 tid=3 eid=52 | eec09cd04923c232
fifo/0067 SUBMIT      u2 S L 102x2 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#46/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=46 tid=3 eid=53 | 9a6deae648088779
fifo/0068 CANCEL      u1 <-7                   | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=46 tid=3 eid=53 | 9a6deae648088779
fifo/0069 SUBMIT      u0 S L 103x6 FOK+g1      | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#47/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=47 tid=3 eid=54 | bbbd9e008fd5383d
fifo/0070 SUBMIT      u2 B L 101x2 GTC+CANCEL_BOTH | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#48/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=48 tid=3 eid=55 | 60ed36ebb938451a
fifo/0071 CANCEL      u1 <-52                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=98:2 n=4 oid=48 tid=3 eid=55 | 60ed36ebb938451a
fifo/0072 CANCEL_ALL  u3                       | CANCELLED n=3                | T[] E[CANCELED#7/CANCELLED/5 CANCELED#8/CANCELLED/0 CANCELED#2/CANCELLED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=48 tid=3 eid=58 | fbd8fd0852e9a002
fifo/0073 REPLACE     u0 B L 102x2 GTC+CANCEL_NEWEST+g2 <-69 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=48 tid=3 eid=58 | fbd8fd0852e9a002
fifo/0074 SUBMIT      u3 S L 103x1 FOK         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#49/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=49 tid=3 eid=59 | 20e74025eaa60f6c
fifo/0075 CANCEL      u3 <-56                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=49 tid=3 eid=59 | 20e74025eaa60f6c
fifo/0076 SUBMIT      u0 B L 104x4 IOC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#50/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=50 tid=3 eid=60 | 262b2d0c88f3ea06
fifo/0077 SUBMIT      u2 B M 100x5 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#51/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=51 tid=3 eid=61 | 682353005a1d8d49
fifo/0078 SUBMIT      u3 S L 100x7 GTC+CANCEL_BOTH+g1 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#52/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=52 tid=3 eid=62 | 393f753836224f42
fifo/0079 CANCEL      u2 <-70                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=52 tid=3 eid=62 | 393f753836224f42
fifo/0080 SUBMIT      u2 B L 103x5 GTC+ALLOW+g2 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#53/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=98 mark=0 bid=- ask=103:5 n=1 oid=53 tid=3 eid=63 | b38afe9074dce378
fifo/0081 HALT                                 | OK                           | T[] E[HALTED#0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=53 tid=3 eid=64 | f70c33585c9f2b9f
fifo/0082 SUBMIT      u1 B M 104x1 IOC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#54/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=54 tid=3 eid=65 | 94f099bd44b98e8e
fifo/0083 SUBMIT      u0 B L 98x8 FOK+ALLOW    | REJECTED:TRADING_HALTED      | T[] E[REJECTED#55/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=55 tid=3 eid=66 | 5ad70438e8443a2f
fifo/0084 SUBMIT      u0 B L 101x6 FOK+g1      | REJECTED:TRADING_HALTED      | T[] E[REJECTED#56/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=56 tid=3 eid=67 | 3061da106a2d8d63
fifo/0085 SUBMIT      u1 S L 103x4 GTC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#57/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=57 tid=3 eid=68 | 80be71f5bcaaef4c
fifo/0086 SUBMIT      u2 S L 98x5 GTC          | REJECTED:TRADING_HALTED      | T[] E[REJECTED#58/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=58 tid=3 eid=69 | 4237c39d04aecab2
fifo/0087 SUBMIT      u3 B L 100x7 IOC+DECREMENT | REJECTED:TRADING_HALTED      | T[] E[REJECTED#59/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=59 tid=3 eid=70 | 8d2b5c3b207f1f26
fifo/0088 CANCEL      u2 <-67                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=59 tid=3 eid=70 | 8d2b5c3b207f1f26
fifo/0089 REDUCE      u1 <-85 to 3             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=59 tid=3 eid=70 | 8d2b5c3b207f1f26
fifo/0090 CANCEL      u0 <-71                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=59 tid=3 eid=70 | 8d2b5c3b207f1f26
fifo/0091 SUBMIT      u3 S L 98x7 GTC+CANCEL_NEWEST | REJECTED:TRADING_HALTED      | T[] E[REJECTED#60/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=- ask=103:5 n=1 oid=60 tid=3 eid=71 | 7d08e67be4394183
fifo/0092 RESUME                               | OK                           | T[] E[RESUMED#0] | OPEN last=98 mark=0 bid=- ask=103:5 n=1 oid=60 tid=3 eid=72 | 93ab71b7c996babe
fifo/0093 SUBMIT      u0 B L 100x2 GTC+CANCEL_OLDEST+g2 | NEW                          | T[] E[ACCEPTED#61/NEW/0] | OPEN last=98 mark=0 bid=100:2 ask=103:5 n=2 oid=61 tid=3 eid=73 | 3b2c4a11af1a082b
fifo/0094 SUBMIT      u3 S L 102x7 GTC         | NEW                          | T[] E[ACCEPTED#62/NEW/0] | OPEN last=98 mark=0 bid=100:2 ask=102:7 n=3 oid=62 tid=3 eid=74 | f39efe44f74c9f42
fifo/0095 SUBMIT      u0 B L 99x5 GTC          | NEW                          | T[] E[ACCEPTED#63/NEW/0] | OPEN last=98 mark=0 bid=100:2 ask=102:7 n=4 oid=63 tid=3 eid=75 | 45c68a8cc67d1f1a
fifo/0096 HALT                                 | OK                           | T[] E[HALTED#0] | HALTED last=98 mark=0 bid=100:2 ask=102:7 n=4 oid=63 tid=3 eid=76 | 1330e54a4876ca14
fifo/0097 SUBMIT      u1 S L 104x2 IOC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#64/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=100:2 ask=102:7 n=4 oid=64 tid=3 eid=77 | 6789872ee8a9b093
fifo/0098 CANCEL_ALL  u3                       | CANCELLED n=1                | T[] E[CANCELED#62/CANCELLED/0] | HALTED last=98 mark=0 bid=100:2 ask=103:5 n=3 oid=64 tid=3 eid=78 | b3ad2fcf3f93b14a
fifo/0099 CANCEL      u3 <-95                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | HALTED last=98 mark=0 bid=100:2 ask=103:5 n=3 oid=64 tid=3 eid=78 | b3ad2fcf3f93b14a
fifo/0100 SUBMIT      u1 S L 100x3 IOC         | REJECTED:TRADING_HALTED      | T[] E[REJECTED#65/TRADING_HALTED/REJECTED/0] | HALTED last=98 mark=0 bid=100:2 ask=103:5 n=3 oid=65 tid=3 eid=79 | 3e2c38029ececbc0
fifo/0101 REDUCE      u0 <-95 to 4             | REDUCED                      | T[] E[REPLACED#63/NEW/0] | HALTED last=98 mark=0 bid=100:2 ask=103:5 n=3 oid=65 tid=3 eid=80 | 30b6f027fce809e1
